cd_adj,caserate,deathrate,pctnohi,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
208,54.90628938791644,1.8421425534929856,0.07201471526708961,0.20673671638395585,0.021504990949982976,0.6454214623578826,0.4489870281300102,0.8455198659509813,0.29832268072760904,125,101.51988097669127,308,0.16542417285859487,317,104,852,15213,98.84075655887736,81,0.14327485380116958
209,79.66930774095152,3.4966335602425325,0.07355806794754728,0.2958363899872962,0.036278265744720616,0.7166613337348717,0.4962991928050722,0.7531644854958729,0.49287653907673995,109,149.92313348038232,309,0.0314760914760915,93,106,1971,20076,3.802281368821293,39,0.24324324324324326
210,105.36649747847127,2.566337795230685,0.06882167220141014,0.26565497396547,0.038622741942244014,0.3766085708427312,0.4558976132826012,0.8472374519916481,0.20367760279608613,35,48.55516637478109,310,0.011178697501047677,24,40,842,11780,NA,NA,0.14622641509433962
211,105.14233727215986,2.845687566778449,0.09681459037531905,0.3826513228036623,0.0449448789220767,0.5715638188051926,0.5649046294207585,0.6064674721199454,0.1375239344539771,55,100.81979001869696,311,-7.547529711676691e-4,46,61,1528,14599,NA,NA,0.10443864229765012
212,139.10566164500375,3.410940851184785,0.056487190649141386,0.23937404089789802,0.07780849231884715,0.23791620512152212,0.6428989751098096,0.5450151368352089,0.12274218972066461,53,69.04391528060309,312,0.011073663938372698,290,172,1306,12883,NA,NA,0.4
213,124.08353894959464,4.758547761720127,0.07431577070517964,0.3887816434870355,0.0455593751359819,0.42659854090581817,0.5939276227471366,0.4547632798004497,0.31723651744800846,35,24.53312797381666,313,0.07806856929190163,238,44,1187,9535,234.28669292687104,1050,0.1918238993710692
214,114.32852308727644,4.399692719873532,0.08737295632306802,0.31365049665685274,0.06069444929611905,0.5677010952022745,0.5294426793435417,0.7082932033048428,0.3110893842334821,138,138.6061900573774,314,-0.008663047277725414,481,82,3182,30200,NA,NA,0.2936893203883495
215,148.590337524818,3.7657180675049635,0.06406796335934696,0.31311981304491115,0.026245734398170482,0.2957306938216159,0.49329730488489615,0.8158697510156696,0.13898080741230973,47,47.12350284704496,315,0.07573474042553197,126,255,1565,12518,130.45454545454547,NA,0.2756756756756757
216,74.9909742637578,3.1804975329654273,0.06915419889360165,0.45929658369444726,0.016158569427986644,0.866813638806877,0.6404345654345655,0.3518174522557509,0.5415441745319511,107,84.78418958805663,316,0.0760869565217391,278,131,181,7060,142.95841209829868,28,0.4647887323943662
217,95.198933096243607,4.526931910794992,0.08532613960697812,0.4210191675454376,0.027023228733762974,0.9654728731186907,0.5552189562087583,0.6651658244910353,0.6594057938801215,207,212.75463666768016,317,0.14042420272078507,270,256,1629,18385,NA,16,0.5659163987138264
